Date,TF,Open,High,Low,Close,Med,CO
2016-11-01,22:00:00,1.10566,1.10615,1.10566,1.10573,1.105905,7.00000000000145e-5
2016-11-01,22:30:00,1.10573,1.10584,1.10552,1.10557,1.10568,-1.6000000000016001e-4
2016-11-01,23:00:00,1.10556,1.1056,1.10538,1.10548,1.10549,-8.000000000008001e-5
2016-11-01,23:30:00,1.10549,1.10579,1.10535,1.10548,1.1055700000000002,-1.0000000000065512e-5
2016-11-02,00:00:00,1.10558,1.10591,1.10528,1.10551,1.105595,-7.00000000000145e-5
2016-11-02,00:30:00,1.10552,1.1056,1.10499,1.10526,1.105295,-2.60000000000149e-4
2016-11-02,01:00:00,1.10526,1.10564,1.10492,1.10495,1.10528,-3.0999999999981043e-4
2016-11-02,01:30:00,1.10495,1.10595,1.10495,1.1059,1.10545,9.500000000000064e-4
2016-11-02,02:00:00,1.10588,1.10659,1.10576,1.10654,1.106175,6.60000000000105e-4
2016-11-02,02:30:00,1.10656,1.10662,1.1063,1.10643,1.10646,-1.2999999999996348e-4
2016-11-02,03:00:00,1.10642,1.10664,1.10622,1.10652,1.10643,9.999999999998899e-5
2016-11-02,03:30:00,1.10652,1.10674,1.10649,1.10667,1.1066150000000001,1.500000000000945e-4
2016-11-02,04:00:00,1.10668,1.10687,1.10643,1.1067,1.1066500000000001,1.999999999990898e-5
2016-11-02,04:30:00,1.10671,1.10695,1.10667,1.10691,1.10681,1.9999999999997797e-4
2016-11-02,05:00:00,1.10691,1.10738,1.10675,1.10725,1.107065,3.4000000000000696e-4
2016-11-02,05:30:00,1.10726,1.10728,1.10647,1.10676,1.106875,-4.999999999999449e-4
2016-11-02,06:00:00,1.10675,1.10692,1.10653,1.10661,1.106725,-1.3999999999980695e-4
2016-11-02,06:30:00,1.1066,1.10694,1.10615,1.10618,1.1065450000000001,-4.2000000000008697e-4
2016-11-02,07:00:00,1.1062,1.10677,1.10616,1.10646,1.106465,2.5999999999992696e-4
2016-11-02,07:30:00,1.10646,1.10744,1.1064,1.10738,1.1069200000000001,9.200000000000319e-4
2016-11-02,08:00:00,1.10739,1.10987,1.1073,1.10915,1.108585,0.0017599999999999838
2016-11-02,08:30:00,1.10915,1.10975,1.1083,1.10834,1.109025,-8.099999999999774e-4
2016-11-02,09:00:00,1.10834,1.10841,1.10748,1.10789,1.107945,-4.5000000000006146e-4
2016-11-02,09:30:00,1.10788,1.10855,1.10779,1.10815,1.1081699999999999,2.6999999999999247e-4
2016-11-02,10:00:00,1.10814,1.10816,1.10717,1.10763,1.107665,-5.100000000000104e-4
2016-11-02,10:30:00,1.10762,1.10836,1.10757,1.10831,1.107965,6.899999999998574e-4
2016-11-02,11:00:00,1.10829,1.10887,1.10778,1.10861,1.108325,3.20000000000098e-4
2016-11-02,11:30:00,1.10862,1.10992,1.10802,1.10982,1.10897,0.0012000000000000899
2016-11-02,12:00:00,1.10982,1.11008,1.10871,1.10917,1.1093950000000001,-6.500000000000394e-4
2016-11-02,12:30:00,1.10916,1.11008,1.10802,1.10845,1.1090499999999999,-7.099999999999884e-4
2016-11-02,13:00:00,1.10845,1.11013,1.10841,1.10874,1.10927,2.900000000001235e-4
2016-11-02,13:30:00,1.10871,1.10985,1.10815,1.1098,1.109,0.0010899999999998133
2016-11-02,14:00:00,1.10978,1.11094,1.10938,1.11046,1.11016,6.800000000000139e-4
2016-11-02,14:30:00,1.11045,1.11146,1.1101,1.11084,1.11078,3.900000000001125e-4
2016-11-02,15:00:00,1.11085,1.11126,1.11037,1.11075,1.110815,-9.999999999998899e-5
2016-11-02,15:30:00,1.11076,1.11188,1.11055,1.11182,1.111215,0.001060000000000061
2016-11-02,16:00:00,1.11183,1.11226,1.1112899999999999,1.11151,1.111775,-3.20000000000098e-4
2016-11-02,16:30:00,1.11151,1.11187,1.11139,1.11165,1.11163,1.40000000000029e-4
2016-11-02,17:00:00,1.11165,1.11177,1.11112,1.11143,1.111445,-2.20000000000109e-4
2016-11-02,17:30:00,1.11142,1.11144,1.10951,1.10992,1.110475,-0.0015000000000000568
