2016.12.02,18:00,1.06740,1.06784,1.06704,1.06729,0
2016.12.02,18:30,1.06728,1.06732,1.06550,1.06572,0
2016.12.02,19:00,1.06573,1.06625,1.06568,1.06593,0
2016.12.02,19:30,1.06593,1.06605,1.06553,1.06579,0
2016.12.02,20:00,1.06581,1.06659,1.06554,1.06639,0
2016.12.02,20:30,1.06640,1.06671,1.06590,1.06627,0
2016.12.02,21:00,1.06627,1.06713,1.06616,1.06713,0
2016.12.02,21:30,1.06713,1.06750,1.06575,1.06597,0
2016.12.04,21:00,1.06444,1.06460,1.06405,1.06431,0
2016.12.04,21:30,1.06420,1.06625,1.06248,1.06625,0
2016.12.04,22:00,1.06640,1.06640,1.05709,1.05762,0
2016.12.04,22:30,1.05765,1.05817,1.05316,1.05321,0
2016.12.04,23:00,1.05321,1.05888,1.05041,1.05384,0
2016.12.04,23:30,1.05386,1.05875,1.05247,1.05670,0
2016.12.05,00:00,1.05650,1.05943,1.05552,1.05636,0
2016.12.05,00:30,1.05635,1.05761,1.05583,1.05659,0
2016.12.05,01:00,1.05660,1.05744,1.05527,1.05736,0
2016.12.05,01:30,1.05737,1.05793,1.05592,1.05599,0
2016.12.05,02:00,1.05600,1.05647,1.05529,1.05561,0
2016.12.05,02:30,1.05562,1.05618,1.05493,1.05554,0
2016.12.05,03:00,1.05551,1.05551,1.05369,1.05436,0
2016.12.05,03:30,1.05435,1.05485,1.05414,1.05484,0
2016.12.05,04:00,1.05484,1.05487,1.05369,1.05446,0
2016.12.05,04:30,1.05448,1.05523,1.05447,1.05505,0
2016.12.05,05:00,1.05508,1.05620,1.05507,1.05599,0
2016.12.05,05:30,1.05599,1.05659,1.05587,1.05659,0
2016.12.05,06:00,1.05657,1.05747,1.05535,1.05578,0
2016.12.05,06:30,1.05579,1.05682,1.05577,1.05673,0
2016.12.05,07:00,1.05672,1.05922,1.05571,1.05880,0
2016.12.05,07:30,1.05880,1.06187,1.05868,1.06027,0
2016.12.05,08:00,1.06028,1.06604,1.05949,1.06479,0
